Hobart Airport,TAS,Australia,Royal Tasmanian Botanical Gardens,TAS,Australia,car,17.3,0:14,peak=0:18,
Hobart Airport,TAS,Australia,Royal Tasmanian Botanical Gardens,TAS,Australia,pubtrans,21.7,1:40,,
Hobart Airport,TAS,Australia,Royal Tasmanian Botanical Gardens,TAS,Australia,walk,19.3,4:04,,
Hobart Airport,TAS,Australia,Royal Tasmanian Botanical Gardens,TAS,Australia,cycle,17.8,1:02,,
Mawson's Huts Replica Museum,TAS,Australia,Royal Tasmanian Botanical Gardens,TAS,Australia,car,2.1,0:04,peak=0:06,
Mawson's Huts Replica Museum,TAS,Australia,Royal Tasmanian Botanical Gardens,TAS,Australia,pubtrans,3.55,0:22,,
Mawson's Huts Replica Museum,TAS,Australia,Royal Tasmanian Botanical Gardens,TAS,Australia,walk,2.1,0:28,,
Mawson's Huts Replica Museum,TAS,Australia,Royal Tasmanian Botanical Gardens,TAS,Australia,cycle,2.2,0:12,,
Mawson's Huts Replica Museum,TAS,Australia,Salamanca Market,TAS,Australia,car,0.85,0:04,,
Mawson's Huts Replica Museum,TAS,Australia,Salamanca Market,TAS,Australia,walk,0.5,0:06,,
Mawson's Huts Replica Museum,TAS,Australia,Salamanca Market,TAS,Australia,cycle,0.65,0:03,,
University of Tasmania,TAS,Australia,Salamanca Market,TAS,Australia,car,2.1,0:05,peak=0:08,
University of Tasmania,TAS,Australia,Salamanca Market,TAS,Australia,pubtrans,2.87,0:20,,
University of Tasmania,TAS,Australia,Salamanca Market,TAS,Australia,walk,2.5,0:32,,
University of Tasmania,TAS,Australia,Salamanca Market,TAS,Australia,cycle,2.7,0:11,,
University of Tasmania,TAS,Australia,Mount Wellington,TAS,Australia,car,19.2,0:30,,
University of Tasmania,TAS,Australia,Mount Wellington,TAS,Australia,walk,12.8,3:42,,
University of Tasmania,TAS,Australia,Mount Wellington,TAS,Australia,cycle,12.8,1:56,,
Mawson's Huts Replica Museum,TAS,Australia,Mount Wellington,TAS,Australia,car,20.4,0:35,,
Mawson's Huts Replica Museum,TAS,Australia,Mount Wellington,TAS,Australia,walk,13.7,3:55,,
Mawson's Huts Replica Museum,TAS,Australia,Mount Wellington,TAS,Australia,cycle,13.7,1:59,,
Adelaide Airport,SA,Australia,Adelaide Oval,SA,Australia,car,7.3,0:14,peak=0:26,
Adelaide Airport,SA,Australia,Adelaide Oval,SA,Australia,pubtrans,7.88,0:36,,
Adelaide Airport,SA,Australia,Adelaide Oval,SA,Australia,walk,8.2,1:44,,
Adelaide Airport,SA,Australia,Adelaide Oval,SA,Australia,cycle,8.6,0:30,,
Adelaide Airport,SA,Australia,University of Adelaide,SA,Australia,car,7.6,0:14,peak=0:30,
Adelaide Airport,SA,Australia,University of Adelaide,SA,Australia,pubtrans,8.05,0:31,,
Adelaide Airport,SA,Australia,University of Adelaide,SA,Australia,walk,8.8,1:53,,
Adelaide Airport,SA,Australia,University of Adelaide,SA,Australia,cycle,9,0:31,,
Adelaide Airport,SA,Australia,Adelaide Central Market,SA,Australia,car,5.9,0:12,peak=0:22,
Adelaide Airport,SA,Australia,Adelaide Central Market,SA,Australia,pubtrans,7.3,0:35,,
Adelaide Airport,SA,Australia,Adelaide Central Market,SA,Australia,walk,7,1:32,,
Adelaide Airport,SA,Australia,Adelaide Central Market,SA,Australia,cycle,7.3,0:27,,
Adelaide Central Market,SA,Australia,Adelaide Oval,SA,Australia,car,1.9,0:06,peak=0:12,
Adelaide Central Market,SA,Australia,Adelaide Oval,SA,Australia,pubtrans,2.33,0:11,,
Adelaide Central Market,SA,Australia,Adelaide Oval,SA,Australia,walk,1.9,0:25,,
Adelaide Central Market,SA,Australia,Adelaide Oval,SA,Australia,cycle,2.2,0:09,,
Adelaide Central Market,SA,Australia,University of Adelaide,SA,Australia,car,2,0:06,peak=0:12,
Adelaide Central Market,SA,Australia,University of Adelaide,SA,Australia,pubtrans,2.9,0:20,,
Adelaide Central Market,SA,Australia,University of Adelaide,SA,Australia,walk,2,0:26,,
Adelaide Central Market,SA,Australia,University of Adelaide,SA,Australia,cycle,2,0:08,,
University of Adelaide,SA,Australia,Adelaide Oval,SA,Australia,car,1.2,0:04,peak=0:06,
University of Adelaide,SA,Australia,Adelaide Oval,SA,Australia,pubtrans,2.33,0:16,,
University of Adelaide,SA,Australia,Adelaide Oval,SA,Australia,walk,1.2,0:16,,
University of Adelaide,SA,Australia,Adelaide Oval,SA,Australia,cycle,1.7,0:06,,
Adelaide Zoo,SA,Australia,Adelaide Oval,SA,Australia,car,1,0:03,,
Adelaide Zoo,SA,Australia,Adelaide Oval,SA,Australia,walk,0.95,0:12,,
Adelaide Zoo,SA,Australia,Adelaide Oval,SA,Australia,cycle,1.6,0:10,,
Adelaide Zoo,SA,Australia,University of Adelaide,SA,Australia,car,1.1,0:03,peak=0:06,
Adelaide Zoo,SA,Australia,University of Adelaide,SA,Australia,pubtrans,1.28,0:05,,
Adelaide Zoo,SA,Australia,University of Adelaide,SA,Australia,walk,0.6,0:08,,
Adelaide Zoo,SA,Australia,University of Adelaide,SA,Australia,cycle,1.2,0:08,,
Adelaide Botanic Garden,SA,Australia,University of Adelaide,SA,Australia,car,0.9,0:05,peak=0:07,
Adelaide Botanic Garden,SA,Australia,University of Adelaide,SA,Australia,pubtrans,1.68,0:14,,
Adelaide Botanic Garden,SA,Australia,University of Adelaide,SA,Australia,walk,1.3,0:16,,
Adelaide Botanic Garden,SA,Australia,University of Adelaide,SA,Australia,cycle,1.7,0:09,,
Melbourne Airport,VIC,Australia,University of Melbourne,VIC,Australia,car,19.9,0:20,peak=0:35,
Melbourne Airport,VIC,Australia,University of Melbourne,VIC,Australia,pubtrans,20.16,0:44,,
Melbourne Airport,VIC,Australia,University of Melbourne,VIC,Australia,walk,17,3:33,,
Melbourne Airport,VIC,Australia,University of Melbourne,VIC,Australia,cycle,20.4,1:04,,
Melbourne Airport,VIC,Australia,Luna Park Melbourne,VIC,Australia,car,31.7,0:30,peak=0:45,
Melbourne Airport,VIC,Australia,Luna Park Melbourne,VIC,Australia,pubtrans,31.92,0:56,,
Melbourne Airport,VIC,Australia,Luna Park Melbourne,VIC,Australia,walk,24.9,5:12,,
Melbourne Airport,VIC,Australia,Luna Park Melbourne,VIC,Australia,cycle,30.3,1:40,,
Melbourne Airport,VIC,Australia,Federation Square,VIC,Australia,car,28.5,0:28,peak=0:45,
Melbourne Airport,VIC,Australia,Federation Square,VIC,Australia,pubtrans,28.57,0:32,,
Melbourne Airport,VIC,Australia,Federation Square,VIC,Australia,walk,18.9,3:59,,
Melbourne Airport,VIC,Australia,Federation Square,VIC,Australia,cycle,19.6,1:09,,
Melbourne Cricket Ground,VIC,Australia,University of Melbourne,VIC,Australia,car,3.6,0:08,peak=0:20,
Melbourne Cricket Ground,VIC,Australia,University of Melbourne,VIC,Australia,pubtrans,3.81,0:28,,
Melbourne Cricket Ground,VIC,Australia,University of Melbourne,VIC,Australia,walk,4,0:54,,
Melbourne Cricket Ground,VIC,Australia,University of Melbourne,VIC,Australia,cycle,4.7,0:21,,
Federation Square,VIC,Australia,University of Melbourne,VIC,Australia,car,2.2,0:07,peak=0:16,
Federation Square,VIC,Australia,University of Melbourne,VIC,Australia,pubtrans,2.68,0:17,,
Federation Square,VIC,Australia,University of Melbourne,VIC,Australia,walk,2.9,0:40,,
Federation Square,VIC,Australia,University of Melbourne,VIC,Australia,cycle,3.6,0:18,,
Federation Square,VIC,Australia,Melbourne Cricket Ground,VIC,Australia,car,1.6,0:04,peak=0:07,
Federation Square,VIC,Australia,Melbourne Cricket Ground,VIC,Australia,pubtrans,2.12,0:11,,
Federation Square,VIC,Australia,Melbourne Cricket Ground,VIC,Australia,walk,1.3,0:16,,
Federation Square,VIC,Australia,Melbourne Cricket Ground,VIC,Australia,cycle,1.9,0:08,,
Federation Square,VIC,Australia,Luna Park Melbourne,VIC,Australia,car,6.8,0:14,peak=0:26,
Federation Square,VIC,Australia,Luna Park Melbourne,VIC,Australia,pubtrans,7.08,0:26,,
Federation Square,VIC,Australia,Luna Park Melbourne,VIC,Australia,walk,6,1:16,,
Federation Square,VIC,Australia,Luna Park Melbourne,VIC,Australia,cycle,6.3,0:24,,
Melbourne Cricket Ground,VIC,Australia,Luna Park Melbourne,VIC,Australia,car,6.1,0:12,peak=0:30,
Melbourne Cricket Ground,VIC,Australia,Luna Park Melbourne,VIC,Australia,pubtrans,7.05,0:31,,
Melbourne Cricket Ground,VIC,Australia,Luna Park Melbourne,VIC,Australia,walk,5.7,1:13,,
Melbourne Cricket Ground,VIC,Australia,Luna Park Melbourne,VIC,Australia,cycle,6.1,0:25,,
Perth Airport,WA,Australia,The Nostalgia Box Museum,WA,Australia,car,11.3,0:14,peak=0:26,
Perth Airport,WA,Australia,The Nostalgia Box Museum,WA,Australia,pubtrans,12.7,0:59,,
Perth Airport,WA,Australia,The Nostalgia Box Museum,WA,Australia,walk,15.6,3:15,,
Perth Airport,WA,Australia,The Nostalgia Box Museum,WA,Australia,cycle,12.1,0:42,,
Perth Airport,WA,Australia,Perth Mint,WA,Australia,car,11.3,0:14,peak=0:26,
Perth Airport,WA,Australia,Perth Mint,WA,Australia,pubtrans,12.35,0:46,,
Perth Airport,WA,Australia,Perth Mint,WA,Australia,walk,15.2,3:10,,
Perth Airport,WA,Australia,Perth Mint,WA,Australia,cycle,10.8,0:37,,
Perth Airport,WA,Australia,Curtin University,WA,Australia,car,12,0:12,peak=0:20,
Perth Airport,WA,Australia,Curtin University,WA,Australia,pubtrans,13.9,1:04,,
Perth Airport,WA,Australia,Curtin University,WA,Australia,walk,13.1,2:42,,
Perth Airport,WA,Australia,Curtin University,WA,Australia,cycle,13.4,0:47,,
Waterford Plaza,WA,Australia,Curtin University,WA,Australia,car,1.4,0:04,,
Waterford Plaza,WA,Australia,Curtin University,WA,Australia,walk,0.7,0:08,,
Waterford Plaza,WA,Australia,Curtin University,WA,Australia,cycle,1.8,0:06,,
Waterford Plaza,WA,Australia,Kings Park,WA,Australia,car,14,0:16,peak=0:22,
Waterford Plaza,WA,Australia,Kings Park,WA,Australia,pubtrans,15.21,1:06,,
Waterford Plaza,WA,Australia,Kings Park,WA,Australia,walk,10,2:07,,
Waterford Plaza,WA,Australia,Kings Park,WA,Australia,cycle,12.3,0:43,,
The Nostalgia Box Museum,WA,Australia,Kings Park,WA,Australia,car,5.3,0:14,peak=0:22,
The Nostalgia Box Museum,WA,Australia,Kings Park,WA,Australia,pubtrans,6.79,0:42,,
The Nostalgia Box Museum,WA,Australia,Kings Park,WA,Australia,walk,4.3,0:56,,
The Nostalgia Box Museum,WA,Australia,Kings Park,WA,Australia,cycle,5.5,0:20,,
The Nostalgia Box Museum,WA,Australia,Perth Mint,WA,Australia,car,2.3,0:06,peak=0:12,
The Nostalgia Box Museum,WA,Australia,Perth Mint,WA,Australia,pubtrans,3.3,0:17,,
The Nostalgia Box Museum,WA,Australia,Perth Mint,WA,Australia,walk,1.7,0:21,,
The Nostalgia Box Museum,WA,Australia,Perth Mint,WA,Australia,cycle,1.8,0:07,,
